Configuración,Valor Predeterminado,Enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Impedir la habilitación de la cámara de pantalla de bloqueo,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-devicelock?WT.mc_id=Portal-fx#preventenablinglockscreencamera
Impedir la habilitación de la presentación con diapositivas de pantalla de bloqueo,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-devicelock?WT.mc_id=Portal-fx#preventlockscreenslideshow
Aplicación de restricciones de UAC a cuentas locales en inicios de sesión de red,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-mssecurityguide?WT.mc_id=Portal-fx#applyuacrestrictionstolocalaccountsonnetworklogon
Configuración del controlador de cliente SMB v1,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-mssecurityguide?WT.mc_id=Portal-fx#configuresmbv1clientdriver
Configuración del controlador MrxSmb10,Deshabilitar controlador (recomendado),Sin enlace
Configuración del servidor SMB v1,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-mssecurityguide?WT.mc_id=Portal-fx#configuresmbv1server
Habilitar la protección de sobrescritura del control estructurado de excepciones (SEHOP),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-mssecurityguide?WT.mc_id=Portal-fx#enablestructuredexceptionhandlingoverwriteprotection
Autenticación de WDigest (deshabilitar puede requerir KB2871997),deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-mssecurityguide?WT.mc_id=Portal-fx#wdigestauthentication
MSS: (DisableIPSourceRouting IPv6) Nivel de protección de enrutamiento de origen IP (protege contra la suplantación de paquetes),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-msslegacy?WT.mc_id=Portal-fx#ipv6sourceroutingprotectionlevel
DisableIPSourceRouting IPv6 (Dispositivo),"la protección más alta, el enrutamiento de origen está completamente deshabilitado",Sin enlace
MSS: (DisableIPSourceRouting) Nivel de protección de enrutamiento de origen IP (protege contra la suplantación de paquetes),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-msslegacy?WT.mc_id=Portal-fx#ipsourceroutingprotectionlevel
DisableIPSourceRouting (Dispositivo),"la protección más alta, el enrutamiento de origen está completamente deshabilitado",Sin enlace
MSS: (EnableCMPRedirect) Permitir que los redireccionamientos ICMP invaliden las rutas generadas por OSPF,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-msslegacy?WT.mc_id=Portal-fx#allowicmpredirectstooverrideospfgeneratedroutes
MSS: (NoNameReleaseOnDemand) Permitir que el equipo ignore las solicitudes de versión de nombres NetBIOS excepto los servidores WINS.,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-msslegacy?WT.mc_id=Portal-fx#allowthecomputertoignorenetbiosnamereleaserequestsexceptfromwinsservers
Desactivar la resolución de nombres de multidifusión,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-dnsclient?WT.mc_id=Portal-fx#turn_off_multicast
Prohibir el uso compartido de conexiones a Internet en la red de dominio DNS,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-networkconnections?WT.mc_id=Portal-fx#nc-showsharedaccessui
Rutas de acceso UNC protegidas,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-connectivity?WT.mc_id=Portal-fx#hardeneduncpaths
Rutas UNC protegidas: (dispositivo),Sin valor predeterminado,Sin enlace
Prohibir la conexión a redes que no son de dominio cuando se conecta a una red autenticada por dominio,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-windowsconnectionmanager?WT.mc_id=Portal-fx#prohitconnectiontonondomainnetworkswhenconnectedtodomainauthenticatednetwork
Configuración de La protección de redireccionamiento,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-printers?WT.mc_id=Portal-fx#configureredirectionguardpolicy
Opciones de protección de redireccionamiento (dispositivo),Protección de redireccionamiento habilitada,Sin enlace
Configuración de la conexión RPC,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-printers?WT.mc_id=Portal-fx#configurerpcconnectionpolicy
Uso de la autenticación para conexiones RPC salientes: (Dispositivo),base: predeterminado,Sin enlace
Protocolo para permitir conexiones RPC entrantes: (Dispositivo),RPC a través de TCP,Sin enlace
Configuración de la escucha rpc,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-printers?WT.mc_id=Portal-fx#configurerpclistenerpolicy
Protocolos para permitir conexiones RPC entrantes: (Dispositivo),RCP a través de TCP,Sin enlace
Protocolo de autenticación que se va a usar para las conexiones RPC entrantes: (Dispositivo),Negociar,Sin enlace
Configuración de RPC a través del puerto TPC,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-printers?WT.mc_id=Portal-fx#configurerpctcpport
RPC a través del puerto TCP (dispositivo),0,Sin enlace
Limita la instalación del controlador de impresión a los administradores,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-printers?WT.mc_id=Portal-fx#restrictdriverinstallationtoadministrators
Administración del procesamiento de archivos específicos de la cola,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-printers?WT.mc_id=Portal-fx#configurecopyfilespolicy
Administración del procesamiento de archivos específicos de la cola: (Dispositivo),limitar los archivos específicos de la cola a perfiles de color,Sin enlace
Desactivar las notificaciones del sistema en la pantalla de bloqueo (usuario),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-wpn?WT.mc_id=Portal-fx#nolockscreentoastnotification
Corrección de Oracle de cifrado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-credssp?WT.mc_id=Portal-fx#allowencryptionoracle
Nivel de protección: (Dispositivo),Forzar clientes actualizados,Sin enlace
El host remoto permite la delegación de credenciales no exportables,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-credentialsdelegation?WT.mc_id=Portal-fx#remotehostallowsdelegationofnonexportablecredentials
Impedir la instalación de dispositivos mediante controladores que coincidan con estas clases de configuración de dispositivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceinstallation?WT.mc_id=Portal-fx#preventinstallationofmatchingdevicesetupclasses
También se aplica a los dispositivos coincidentes que ya están instalados,True,Sin enlace
Clases prevenidas,{d48179be-ec20-11d1-b6b8-00c04fa372a7},Sin enlace
Directiva de inicialización del controlador boot-start,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-system?WT.mc_id=Portal-fx#bootstartdriverinitialization
Elija los controladores de arranque que se pueden inicializar:,"bueno, desconocido y malo, pero crítico",Sin enlace
Configuración del procesamiento de directivas del Registro,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-grouppolicy?WT.mc_id=Portal-fx#cse-registry
No aplicar durante el procesamiento en segundo plano periódico (dispositivo),False,Sin enlace
Procesar incluso si los objetos directiva de grupo no han cambiado (Dispositivo),True,Sin enlace
Desactivar la descarga de controladores de impresión,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-connectivity?WT.mc_id=Portal-fx#disabledownloadingofprintdriversoverhttp
Desactivar la descarga de Internet para los asistentes de publicación web y pedidos en línea,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-connectivity?WT.mc_id=Portal-fx#disableinternetdownloadforwebpublishingandonlineorderingwizards
Permitir que los CSP y AP personalizados se carguen en LSASS,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-lsa#allowcustomsspsaps
Permitir estados de espera (S1-S3) al dormir (con batería),deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-power?WT.mc_id=Portal-fx#allowstandbystateswhensleepingonbattery
Permitir estados en espera (S1-S3) al dormir (conectado),deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-power?WT.mc_id=Portal-fx#allowstandbywhensleepingpluggedin
Requerir una contraseña cuando un equipo se reactiva (con la batería),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-power?WT.mc_id=Portal-fx#requirepasswordwhencomputerwakesonbattery
Requerir una contraseña cuando un equipo se reactiva (conectado),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-power?WT.mc_id=Portal-fx#requirepasswordwhencomputerwakespluggedin
Configuración de asistencia remota solicitada,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remoteassistance?WT.mc_id=Portal-fx#solicitedremoteassistance
Restricción de clientes RPC no autenticados,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-remoteprocedurecall?WT.mc_id=Portal-fx#restrictunauthenticatedrpcclients
Restricción de cliente no autenticado en tiempo de ejecución de RPC que se va a aplicar:,autenticado,Sin enlace
Permitir que las cuentas de Microsoft sean opcionales,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-appruntime?WT.mc_id=Portal-fx#allowmicrosoftaccountstobeoptional
No permitir la reproducción automática para dispositivos que no son de volumen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-autoplay?WT.mc_id=Portal-fx#disallowautoplayfornonvolumedevices
Establecer el comportamiento predeterminado para la ejecución automática,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-autoplay?WT.mc_id=Portal-fx#setdefaultautorunbehavior
Comportamiento de ejecución automática predeterminado,no ejecute ningún comando de ejecución automática,Sin enlace
Desactivar reproducción automática,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-autoplay?WT.mc_id=Portal-fx#turnoffautoplay
Desactivar reproducción automática activada:,todas las unidades,Sin enlace
Denegar el acceso de escritura a unidades fijas no protegidas por BitLocker,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/bitlocker-csp?WT.mc_id=Portal-fx#fixeddrivesrequireencryption
Denegar el acceso de escritura a unidades extraíbles no protegidas por BitLocker,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/bitlocker-csp?WT.mc_id=Portal-fx#removabledrivesrequireencryption
No permitir el acceso de escritura a los dispositivos configurados en otra organización,False,Sin enlace
Enumeración de cuentas de administrador en elevación,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-credentialsui?WT.mc_id=Portal-fx#enumerateadministrators
Especificar el tamaño máximo del archivo de registro (KB),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-eventlogservice?WT.mc_id=Portal-fx#specifymaximumfilesizeapplicationlog
Tamaño máximo de registro (KB),32768,Sin enlace
Especificar el tamaño máximo del archivo de registro (KB),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-eventlogservice?WT.mc_id=Portal-fx#specifymaximumfilesizesecuritylog
Tamaño máximo de registro (KB),196608,Sin enlace
Especificar el tamaño máximo del archivo de registro (KB),habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-eventlogservice?WT.mc_id=Portal-fx#specifymaximumfilesizesystemlog
Tamaño máximo de registro (KB),32768,Sin enlace
Configurar Windows Defender SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-admx-windowsexplorer?WT.mc_id=Portal-fx#enablesmartscreen
Elija una de las opciones siguientes: (Dispositivo),advertir y evitar la omisión,Sin enlace
