Título,Descripción,Calificación de riesgo
El estado de autenticación multifactor está 'Deshabilitado' para algunos usuarios privilegiados,"La autenticación multifactor requiere que una persona presente un mínimo de dos formas de autenticación distintas antes de que se le conceda el acceso. La autenticación multifactor proporciona una garantía adicional de que la persona que intenta obtener acceso es quien dice ser. Con la autenticación multifactor, un atacante tendría que comprometer al menos dos mecanismos de autenticación diferentes, lo que aumenta la dificultad de la vulneración y, por lo tanto, reduce el riesgo.",Crítico
Se han definido menos de 2 cuentas de acceso de emergencia,"En diversas situaciones, una organización puede requerir el uso de una cuenta de emergencia para obtener acceso de emergencia. En caso de perder el acceso a las funciones administrativas, una organización puede experimentar una pérdida significativa en su capacidad para brindar soporte, perder conocimiento sobre su postura de seguridad y posiblemente sufrir pérdidas financieras.",Alto
No se pueden identificar los correos electrónicos de remitentes externos,Etiquetar los correos electrónicos de remitentes externos ayuda a informar a los usuarios finales sobre el origen del correo electrónico. Esto puede permitirles proceder con más precaución y tomar decisiones informadas a la hora de identificar correos electrónicos de spam o phishing.,Alto
¡Las opciones 'Suscripción ingresando al directorio de AAD' y 'Suscripción saliendo del directorio de AAD' están configuradas para todos!,Los permisos para mover suscripciones dentro y fuera de Microsoft Entra ID solo deben otorgarse al personal administrativo correspondiente. Una suscripción que se mueve a un directorio de Microsoft Entra ID puede estar dentro de una carpeta para la que otros usuarios tienen permisos elevados. Esto evita la pérdida de datos o cambios no aprobados de los objetos que contienen por parte de posibles actores maliciosos.,Alto
¡Los usuarios que no sean administradores pueden crear nuevos inquilinos!,"Restringir la creación de inquilinos evita la implementación no autorizada o no controlada de recursos y garantiza que la organización mantenga el control sobre su infraestructura. La generación de TI en la sombra por parte de los usuarios podría generar entornos múltiples e inconexos que pueden dificultar que el departamento de TI administre y proteja los datos de la organización, especialmente si otros usuarios de la organización comenzaron a usar estos inquilinos para fines comerciales bajo la idea errónea de que estaban protegidos por el equipo de seguridad de la organización.",Alto
La opción Restringir que los usuarios no administradores creen inquilinos está configurada en No,Se recomienda permitir que solo un administrador cree nuevos inquilinos. Esto evita que los usuarios creen nuevos inquilinos de Azure AD o Azure AD B2C y garantiza que solo los usuarios autorizados puedan hacerlo.,Alto
¡Se permiten aplicaciones integradas de terceros!,"La conexión de aplicaciones integradas de terceros a los servicios debe estar deshabilitada, a menos que exista un valor muy claro y se hayan implementado controles de seguridad sólidos. Si bien existen usos legítimos, los atacantes pueden otorgar acceso desde cuentas vulneradas a aplicaciones de terceros para extraer datos de su arrendamiento sin tener que mantener la cuenta vulnerada.",Alto
El consentimiento del usuario para las aplicaciones no está configurado en: 'No permitir el consentimiento del usuario' o 'Permitir para editores verificados',"Si Microsoft Entra ID se ejecuta como proveedor de identidad para aplicaciones de terceros, los permisos y el consentimiento deben limitarse a los administradores o deben contar con la aprobación previa. Las aplicaciones malintencionadas pueden intentar extraer datos o abusar de las cuentas de usuarios con privilegios.",Alto
Los usuarios pueden registrar aplicaciones. Está configurado en 'Sí',"Se recomienda permitir que solo un administrador registre aplicaciones desarrolladas a medida. Esto garantiza que la aplicación se someta a un proceso formal de revisión y aprobación de seguridad antes de exponer los datos de Microsoft Entra ID. También se pueden delegar permisos a determinados usuarios, como desarrolladores u otros usuarios con muchas solicitudes, para evitar que tengan que esperar a un usuario administrativo. Su organización debe revisar sus políticas y decidir sus necesidades.",Alto
¿Desea notificar a todos los administradores cuando otros administradores restablezcan su contraseña? Está configurado en 'No',"Las cuentas de administrador global son confidenciales. Cualquier notificación de actividad de restablecimiento de contraseña, cuando se envía a todos los administradores globales, garantiza que todos los administradores globales puedan confirmar pasivamente si dicho restablecimiento es un patrón común dentro de su grupo. Por ejemplo, si todos los administradores globales cambian su contraseña cada 30 días, cualquier actividad de restablecimiento de contraseña anterior puede requerir que los administradores evalúen cualquier actividad inusual y confirmen su origen.",Alto
Algunas cuentas de usuario no tienen MFA habilitada,"Tanto los valores predeterminados de seguridad como el acceso condicional con los valores predeterminados de seguridad desactivados no son compatibles con la autenticación multifactor (MFA) por usuario, lo que puede generar estados de autenticación de usuario no deseados. El CIS Microsoft 365 Benchmark emplea explícitamente el acceso condicional para la MFA como una mejora con respecto a los valores predeterminados de seguridad y como reemplazo de la MFA por usuario obsoleta. Para garantizar un estado de autenticación consistente, deshabilite la MFA por usuario en todas las cuentas.",Alto
"El estado de autenticación multifactor está ""Deshabilitado"" para algunos usuarios sin privilegios","La autenticación multifactor requiere que una persona presente un mínimo de dos formas de autenticación distintas antes de que se le conceda el acceso. La autenticación multifactor proporciona una garantía adicional de que la persona que intenta obtener acceso es quien dice ser. Con la autenticación multifactor, un atacante tendría que comprometer al menos dos mecanismos de autenticación diferentes, lo que aumenta la dificultad de la vulneración y, por lo tanto, reduce el riesgo.",Alto
